Concentration,Volume
500,34783
200,26986
100,11129
20,2730
10,1493
0,0
100,9536
500,45948
500,47170
200,32261
100,16467
20,4779
10,1309
0,0
100,7328
10,1668
500,44506
500,34073
200,16842
200,15085
200,21350
200,22988
200,17694
200,17740
100,8056
10,1269
500,45695
20,1180
20,2066
20,2283
20,1985
10,1142
500,46220
100,8259
100,5971
100,5431
500,39329
200,20464
100,11635
20,1406
10,963
0,0
500,17681
200,11067
100,7528
20,1141
0,0
10,782
500,34329
